Date,Open,High,Low,Close
2022-03-12,38864,39364,38713,39103
2022-03-13,39103,39237,38424,38677
2022-03-14,38692,39275,37624,38737
2022-03-15,38737,39864,38184,39416
2022-03-16,39452,41649,38980,41252
2022-03-17,41252,41444,40612,40717
2022-03-18,40723,42296,40228,41849
2022-03-19,41849,42374,41564,42256
2022-03-20,42256,42366,40966,41308
2022-03-21,41308,41514,40550,41186
2022-03-22,41186,43253,40915,42611
2022-03-23,42611,42863,41809,42350
2022-03-24,42350,44215,42276,43914
2022-03-25,43914,45097,43641,44564
2022-03-26,44600,44801,44131,44608
2022-03-27,44608,46402,44289,46073
2022-03-28,46105,48174,45912,47944
2022-03-29,47944,48103,47002,47406
2022-03-30,47470,47705,46645,47232
2022-03-31,47232,47573,45542,45760
2022-04-01,45760,46696,44310,46175
2022-04-02,46175,47183,45681,46208
2022-04-03,46208,46766,45580,46391
2022-04-04,46391,47367,45174,46304
2022-04-05,46304,47158,45593,45707
2022-04-06,45707,46042,43343,43898
2022-04-07,43905,44002,42784,43573
2022-04-08,43573,43962,42557,42750
2022-04-09,42808,42859,42138,42459
2022-04-10,42459,43398,42430,43154
2022-04-11,43147,43242,39629,39850
2022-04-12,39850,40641,39301,39536
2022-04-13,39536,41499,39498,41245
2022-04-14,41245,41476,39626,39896
2022-04-15,39896,40727,39807,40409
2022-04-16,40404,40657,40044,40356
2022-04-17,40356,40712,39927,40295
2022-04-18,40295,40911,38639,40665
2022-04-19,40665,41750,40609,41300
2022-04-20,41300,42202,40935,41435
2022-04-21,41435,42949,40647,40647
2022-04-22,40647,40842,39214,39597
2022-04-23,39597,39974,39331,39794
2022-04-24,39794,39937,39046,39539
2022-04-25,39539,40316,38292,40140
2022-04-26,40140,40748,37757,38128
2022-04-27,38128,39451,37746,39095
2022-04-28,39095,40338,38877,39928
2022-04-29,39928,39989,38213,38559
2022-04-30,38559,38776,38201,38332
2022-05-01,38332,38660,37510,38196
2022-05-02,38196,39108,38102,38321
2022-05-03,38321,38854,37543,37633
2022-05-04,37633,39890,37633,39780
2022-05-05,39780,39860,35690,36432
2022-05-06,36432,36648,35387,36074
2022-05-07,36074,36140,35749,35775
2022-05-08,35775,35816,33766,34604
2022-05-09,34604,34604,30416,31076
2022-05-10,31076,32624,29842,30960
2022-05-11,30960,32075,28233,28315
2022-05-12,28315,30079,25805,28572
2022-05-13,28572,30994,27968,29800
2022-05-14,29800,30079,28661,29370
2022-05-15,29370,31061,29345,30991
2022-05-16,30991,31346,29179,29880
2022-05-17,29880,30721,29465,30081
2022-05-18,30081,30664,28749,29205
2022-05-19,29205,30483,28637,30214
2022-05-20,30214,30700,28714,29121
2022-05-21,29121,29597,28949,29380
2022-05-22,29380,30259,29254,29910
2022-05-23,29910,30615,29054,29289
2022-05-24,29289,29544,28665,29429
2022-05-25,29429,30175,29345,29762
2022-05-26,29762,29842,28158,29447
2022-05-27,29447,29643,28256,28739
2022-05-28,28739,29222,28524,28996
2022-05-29,28996,29428,28824,29162
2022-05-30,29162,31302,29153,31271
2022-05-31,31271,32324,31206,31757
2022-06-01,31757,31957,29367,29645
2022-06-02,29645,30350,29504,30242
2022-06-03,30242,30667,29355,29652
2022-06-04,29649,29888,29482,29726
